Sentence,Emotion
괜히 살만 토실토실해져서 보기엔 안좋고역시 운동은 꾸준히 오랫동안 하면서 단련해야 하는건데욕심냈다가 꿀돼지만 돼서 고민...0,1
생일 축하합니다..,3
많은 사람에게 쉬운요리 가르쳐줘서 고맙습니다,3
..고민들어주실분계시나여..??,1
한화가 하는것에 따라 다르다는건 일단 문제는 돈이다 돈.,2
저 할머니가 뭐했는데 누구임,2
검찰은 영 믿음이 법원 그래도 살아있네,3
조언좀 해주세요...ㅠㅠ,1
우리신랑도 백쌤님 열렬 시청자 랍니다,3
백선생님요리 정말제미있어요.,3
비와이 미리 ㅊㅋㅊㅋ,3
근데 연락이 엄청 느린게?일부러 선 긋는 거 같아.,1
와.. 못할짓이더라고요.오늘 식단은 원래 바나나커피라고그거 2개까지만 타협을 했는데.,1
초보운전자에게 좋겠네요..다른 길로 들어섰다가 욕 먹는 경우 많은데..,3
박근혜.최순실.친박 자수해라!!!,0
그남자라면 그얘기듣고 아예 맘 없겠죠?ㅠㅠ,1
자다가 뭔 옆차기하는 소리야 쓰레기들,0
조언감사합니다,3
 그런데 어떻게 할지 몰라서,1
 내거 믿는 진실은 결국은 거짓선동인가?,0
그네는 사형해라! 그네는 내려와라! 그네는 친일 매국노다!,0
송중기 쭉쭉 뻗어나가자,2
신경성 위염 달고 사는데 미쳐버린다,1
조원우는 책임 안지나?,0
바로 취업이 될줄알았는데 어렵네요,1
경제 사대주의냐. 망할 트럼프,0
곧 한국형 포켓몬이 나오겠구만,2
 몇키로정도 더빼야지 이쁜몸매가될까요?ㅠㅠㅠ,1
언론과 방송 반드시 시민들 눈높이에 맞추고 조작사기질하는 찌라시 종편 퇴출시켜라,0
 정말 잘생겻더라구여...,3
13화까제 딱 조앗다,2
다 정형돈인줄알고 들어온둣 ㅋㅋㅋㅋㅋ,2
부끄러우면 사직서 제출하고 공직에서 물러나라,0
오늘날잡압았어 날씨 끝짱이다. 5000천만 집결,3
기사제목보고 수원 화성인줄......,2
넘나 잘생겨졌네요,3
대인배네 대인배...,3
그냥 예보하지마라. 뭣이중헌디?,0
너무나 보고싶어요,1
얼마를 원하는건데?,2
 박수를 보낸다!,3
고마해라 마이 했다아이가,2
다같이 치킨을 논하고 여러 사람도 만나고또 정모도 자주 해서 리뷰하는 그런 카페가 목표에요!!,3
폄하는 아니지만 피겨 인프라가 얼마나 된다고 다른종목 선수들 까대면서 높혀주냐,0
이기적인 유전자 강동원 ㅠ0,1
팔목부터 시작해서 발목 무릎 안쑤시는곳이 없어요...ㅠㅠ,1
내주변사람들 다 수조원 은닉했을거라 예상하던데 특검만 몰랐을까,0
복대하면 허리통증 좀 사라질까요 ????,1
완전 축하요,3
전 전라도것들 매우 싫어합니다,0
 연예인들 이미지 관리 때문에 고소 잘안함.,2
정부가 법을 지키지않고 재벌편만 들려고 하니 파업을 하지 ~ 최순실은?,0
아이폰이 답이다.......,2
알바새끼들존나많네 쯧쯧,0
  하루 두세시간 자고 주말도 일하고...,1
 지금 국민들 한테 대놓고 협박질 하는거냐,0
너희들이 살아갈 세상이다!,1
꼭 알려주시면 감사하겠어영!!!!!!!,3
대한민국 흡혈귀 삼성 이제 떠나라!!!!!,0
"중국폰, 중국 자동차들 수입해서 자국민 가지고 노는 쓰레기 기업 싹 부도나라!!!오죽하면 헬조선이라하겠는가!!!",0
 항상감사합니다,3
우주의 기운이 세상을 돕지못한다 박근혜 때문에,0
근데 저 지금 전화 안 한지 한달넘었거든요..,1
사형시키라,0
정말 뻔뻔하기 그지 없다 새해 첫날부터 또 국민을 열받게 했다,0
"밥딜런의 노래와 시와, 매번 등장하는 하루키 작품의 끈적한 관계로 보아 당연히 밥딜런",2
질투심에 눈이 멀어서 폭언을 해버렸다,1
고민입니다.,1
ㅋㅋㅋㅋㅋㅋㅋ 이번엔 감독탓 ㅋㅋㅋ,3
타켓은 오재원이 아니라 2루심이였는데,0
그걸 해줘야 릴렉스도 되구복근이 이쁘게 생긴단다 ㅋㅋ,3
와우진짜 오랜만에여기왓어요ㅠㅠ,3
AV시장에서 러브콜할듯,2
인간말종에 재활용도 안되는ㅆ 레 기 인성을 가졌군.,0
국민대사기 정부 박근혜 당장 탄핵하라.,0
"콕 쑤시는 듯한 통증도 있구요,설사할 것 같은 배앓이도 있다 사라지구요..",1
 그사람이 너 좋아하는 거같다.,1
다시만나면 반복될껄 알기에 이걸로 만족하고좋게 정리하는게 맞겠죠,1
그 인간들때문에 귀한 몸 해치지 마세요..ㅠㅜ,1
돈 없다며 참 몇십원 남은 통장으로 잘먹고 잘산다? 너같은 인간들만 제대로 잡아도 이나라 경제가 이렇지는 않을건데.,0
내진설계 잘 된 단독주택에서 축구장같은 넓은 정원가진 부자들은 큰 지진나도 살겠지....,1
아놔!!!! 나도 간다 서울로,0
유승민 닮았네요 ㅇㅇ,2
모두가 행복한데 왜 저 혼자 불행한걸까요?,1
내일 빠따 크리 뜰듯;0,1
트럼프 백퍼 탄핵 당할듯,2
8일전 환승이별인걸 알고난 후에도..,1
살려줘 ㅠㅠ,1
디져봐야 저승맛을 알지,0
이대론 꿈도 희망도 없어ㅜㅜ,1
나보다 화면의 그녀에게 더 끌리는가보다일년반동안 사귀면서초반엔 활활 불타올랐는데지금은 한달에 한번 할까말까,1
진짜 이거 개억울하게따 내가열이박네,0
 사람 심성도괜찮고누굴선택해야할까,1
한화는 나라에 벌금 1조 내고 사죄하라.,0
이번엔 누구의 뒤를 덥어 주려고....,0
국민여러분 국민의 이름으로 조의연판사 탄핵소추를 100만서명받아서 국회에 제출합시다,0
사실 78수는 신의 한수가 아니라 악수였음 결과적으론 신의한수지만,2
이떤십질년 정유년 닭띠가리~~,2
폰만 들여다보고 걸어다니는 모습 너무 위험해 보임,2
140억 불우이웃돕기 성금으로 내시오!,0
아가리를찟고십다아아아아아~~~~~~~아,0
 다시만나면 안됬던거야,1
매번 논란일으키고 사과하고 그러는데 왜 못고치니?,0
유통업자들 다 잡아 족쳐야한다,0
혹해서 한번 사봤네요ㅋㅋㅋ,3
그러니까 진작에 자주국방햇어야지 이 0신새끼들아,0
파주에도 경찰서 있나요??,2
Vip 룸에서 tv 보며 팝콘 먹던 순시리 뜬금없는 팩폭 ㅋㅋㅋㅋ,3
아기보다 남편이 만져서 터질확률이 클듯.,0
  이제 하반기인대 어떤걸 준비해야될까요ㅜ,1
지말대로 국기문란 바로잡자,0
너희도 천안문 앞에서 촛불시위해주리?,2
생활패턴 바뀌니까 미치겟네여  낮에 자고 밤새 일하고...,1
난 4.7인치가 좋은데 이젠 거의 새로 안나옴...ㅠㅠ - 2011년 베가넘버5로 5인치처음쓴 사람-,1
대신 삼성은 부품을 팔아서 이득을..,2
탈세는 범죄임 ... 인순이,0
원장이 한국인한테 차였었나보다,2
흉기가 드디어 개발성공했나보네,3
  연아누나 언제나 힘내시고 화이팅요!!^^,3
후진국 정부가 하는 일이 그렇지...외유성 해외출장 가봐야 바뀌는게 없어도 세금으로 꼬박꼬박 월급 나오니 편하지...,1
진실을 과연 말하는 걸까 싶긴하지만 대위 동생까지 욕하는 건 아닌것 같습니다,2
거지 맞잖아 왜 아니라고 그러냐,0
원래 군대가면 다헤어지는거임?,1
박지성선수 이후로 최고의 아시아선수다.....,3
제가 놓치는 환자정보 있으면 알려주고바빠서 차트를 자세히 못볼때가 많은데 간호사들이 다파악하고 있어서 같이 일하는 입장에서 정말 고마워요.,3
유시민 대위... 썰전에서 만날수 있나??,2
정유라가 이뻐서 남자들이 많이 따르나보다...,0
캐시템 유효기간이 좀 길어졌네,3
국민이 같이 하겠습니다. 죄지은x는 처벌 받읍시다. 더이상의 꼼수는 안됩니다.,0
한달동안 소환불응하는 피의자 이것은 있을 수 없는 전무후무한 특혜다 그것부터 밝혀라,2
아니 애는 저 혼자 낳았습니까?,0
ㅠㅠ 170에 몸무게 95 초고도비만인데요,1
가족을 죽이고 엄마를 죽이고 당을 죽이고 뭘 위하시마요..,1
얼굴부터 마음까지 예쁜 우리 지원언니! 응원할게요!!!,3
언론 껍데기만 쓴 정치 집단...,0
부럽다!!!!!!!!!!!!!!!,1
조윤희 머리스타일 바꾸니까 넘 예뻐,3
 감솨합니당~ *^^*,3
저도 스무살 첫사랑을 이렇게 보내게 되었고..,1
 강화해도 시원찮을법에 감경이라니..,0
  엑땜했다고 생각해요...,1
대단하다 대단해 .... 곡성근,3
지방대 컴공과를 1학년 마치고 갔는대 진로의 길에서 상당한 고민이 생겼습니다.,1
일본이 한국의 국정교과서를 근거로..제주 영유권 주장하면?,0
"사람을 잊는다는건, 누군가와 내 인생에서 함께했던 시간을 지우는건  왜이렇게 힘들까요",1
적당히해라 발광,0
새해 복많이 받으시고올해도 건강하시고홧팅하세요^^,3
힘들게해서.많이 힘들었지..,1
우울증으로  약도복용중인데요,1
 ? ? ? 부모님께짐만되는거 같아요....,1
근데 필리핀이 승리한거죠??,2
 정신과 상담을 받아도 별로 나아지는것도 없고..,1
전자 고등어 출시 임박.,2
전북의 슈퍼크랙 레오,3
티원 락스 파이팅~,3
"드라마 존잼. 도깨비씨 액션에 사극에 뽀뽀씬에, 저승씨랑 터널에서 걸어주시고 종합선물세트였네",3
캡틴아메리카처럼 어떻게 하는지..,1
이딴새끼는 역적이다 신상공개해라,0
중국애들 베트남애들 안보이네?,2
제 맘이 너무아프거든요,1
"롯데, 기아, SK, NC 4파전... 아닐까요?",2
장래에 대한 기회 폭이 넓어서 좋겠다,1
 음경길이가 너무 작은거같아 고민입니다..,1
요리 프로그램이 한 다음날은 우리집메뉴가풍성해집니다.,3
그리구제가공백이길어서 요즘의욕도없고?,1
소혜 화이팅♡♡♡♡♡,3
정문앞 허용하라,2
그네..순시리..병우...한나라구캐으원 ..다..주겨라!!!,0
기분이 너무 꿀꿀하다...,1
오늘밤 SBS 11시 25분 첫방송~!!!,3
오바마부인도 다음에 대통령후보 될수도,2
초등학교 6학년때 본 에일리어2가 최고였어!!!!,3
마인드컨트롤무기 현재에도 사용되고있으며 저는 피해자입니다.,2
최근의 무한상사도 너무 재밌고 흥미진진하게 잘 봤습니다.,3
진정 용기있는 투사십니다.,3
와이는 요즘 머할려나?,2
9병규가 그리웠다...,1
저도 일찍자는타입이라 밤11시에 보기가 어려웠는데 잘됐네요 ㅎㅎ,3
역시 우린 짱깨와 다른 민족이었어.,3
저색기들 다 때려 죽여버리고 싶다,0
  FA 선언 후 다시 전용 구장에 오셨으니 화이링!~!,3
우리의 수준은 저 아래 첫 두 댓글이 말해주는구나...,0
난 저소득자인데 더내것지?,0
일본 진짜 이런건 선진국이라 불릴만하다,1
자 이제 줄인다는 환불해택이 뭔지좀 말해주세요 기자님,2
LG로 와서 너무 기분이 좋습니다.,3
아이폰 니도 리콜해야것다!!!,0
밀당보다 직진이 더매력쩔음,3
사실 여기까지 올라오는게 가능했던 것도 커쇼덕분;,3
설현으로 누진세를 막을 수 있을거라 생각했냐?,0
시비시키 존나 못해!,0
우리나란 아직 판매중!! 희귀템 구매 원하면 사면됨!!!,3
이슬람의 힘을 빌려 동성애 세력과 싸우자,0
저도 맘 정리 거의 다 되가긴 했는데도 아프네요,1
이효리는 ♡♡입니다.,3
너무 구체적으로 푸는건 머리아프네요,1
이걸 보고 웃는건 트럼프겠죠...,2
중졸에 대한 모욕이다,0
수지 예쁘고 착하더라 존예짱예,3
우린 수조원들여 삽질했지요....,1
둘다 순수하고 묘한 자기만의 세계가 어울림ㅎㅎ어여 결혼갑시다^^,3
특검 부끄럽지도 않냐?,0
 이제 정말 체념 해야하나봐요.,1
거리의 쓰레기들은 다 치웠으니 위쪽 쓰레기들도 처리하자,0
앞으로도 더 좋은 요리 레시피 부탁드립니다,3
니가 짱이구나!!!!,3
 >_<  정말정말 열심히 하는 모습 보기 좋습니다.,3
부상없는 연아님의 피겨는 이제 피겨역사에 아름다운 예술과 기술이 완벽하게 어우러진 유일무이한 기록으로이미 존재하고 있습니다.,3
축하드려요..어제 방송도 잘 봤습니다,3
지칠때 김연아씨 경기 보면서 힐링 많이받고있어요ㅠㅠ 멋져,3
오랜시간 기다린 팬 입덕하신 팬 모두와 즐겁게 놀고 오세요!,3
답답한데 제가 뛸까요?,2
완벽한 남자 넘나 피곤하다내가 거기에 맞춰야되니까,1
생산직 2교대를 없애라,0
멍청한넘들 왜 박근혜를 찍었냐???????????????????????????,0
님들 제가 올해 장내기능만 합격했는데 지금미국이라 내년여름에 한국가는데 가서 도로만 보면 되겠죠?,2
: 병규형이 승여비를누르고 올스타 최다득표의 영예를안았습니다,3
 이게 진정 스포츠인가?,0
비례대표로 나가고 싶었나봐,2
머리아픈건 방법없음,1
무조건 본다~~~^^라미란 파이팅~-ㅎㅎ,3
예D ~ 500일 축하해요,3
국민의 알 권리가 우선이지 국익을 위한다면 쟤네 세금이나 제대로 내라고 해,2
운전미숙으로 초소를 넘길정도면 .....,2
지금오는건 비가아니라 내눈물이냐 ㅅ벌것들아,0
"박근혜는 최순실 한명을 위한 정책을 한거고, 트럼프는 자기 나라를 위한 정책이지",0
저면상 진짜 후려치고싶다ㅡㄷ,0
신한슬기자님 예쁘세요,3
방문객 많은거 확인 해서 뭐할라꼬?,2
 감잃지 말고 군대가기전까지 이렇게해야할텐데 ㅠㅠ,1
김사부님 서정이 수술찬성할때 정말 리액션 귀여웠음,3
국민들이 너한테 법적대응해줄께 기다려!,0
적어도 메이 총리는 수첩에 적어서 연설은 안하지..,2
항상 응원합니다 태호피디님짱,3
 인생한방이다.,1
 정신나간 미친것,0
" ""한국서 나는 왕처럼 살고 있다""",2
 어떤 여주와도 케미 짱!,2
전역하고 남은건 건강한 몸뚱이와 학자금대출로 갚아야할 500..,1
와 진짜 합의 없이 싹다 처벌해주길!!,0
먹어도 상관없는 평소에 운동빡세게 하는사람 좋아요.,2
저런 짐승한테는 욕도 아깝네요,0
뭐하고 다니는 짓인지 한심한것들,0
판도 못왔다..,1
한효주 넘 예쁘고 연기도 짱 대박!!!,3
이젠 코딩도 취업코딩이냐..? 나참내 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0
돌팔이세끼,0
오늘 주점햇는대 너뮤 힘들엇져ㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠ,1
그냥 한낱알바생일 뿐이니...,1
내일 아침이 오는 게두렵고 자는 시간이 아무 근심 없어서 가장 좋고..,1
이슬람쓰래기들을 씨말리자,0
이여진기상캐스터의 살스는 진리다~~,3
지치지말고 함께해요!!!,3
앞으로도 걱정이네요,1
 부럽다 수십개 달리던데.,1
그냥 칠레에서 알아서 하세요.,2
10월 3일 일본 이민간다 수고해라 헬센징들아,3
환경부장관이란 넘이 중국발 스모그 아무리 마셔도 괜찮다고 했답니다 아는 의사가 발암물질 아니라고 했다고 선진국에서 거짓말로 겁주는거랍니다 이게 친중정부의 수준입니다 그넘 건강해지라고 스모그 심할때 마라톤 꼭 시킵시다,0
아.. 덕질 입장에서 맴찢이다ㅠ..,1
결국 최고미녀를 주머니에 담아가는군요!! 결혼축하합니다!!,3
 그냥 가슴에 계속 담아두기만 하네요..,1
근데 저색기들 광우뻥때도 촛불들고 설쳤지??????,0
순실이랑 판박이네 21살맞나 ㅋㅋㅋㅋ,0
 똑같은 녀언놈들아!,0
세명이나 달려들어 구해주겠다 한거보니... 이뻤네,2
그렇게 억울하면 니들도 여자 징집하라고 시위하던가 1577-9090,0
안경쓰면 원래 안되지않음??,1
기상청 내일 비오나 안오나 궁금해서 가슴이 쫄깃쫄깃허지,2
키스장인ㅋㅋ 인정이요,3
스킨쉽만 하려고 하면 머뭇거려지고 애인이 절 싫어하면 어떡할까 조마조마 합니다.,1
소인배 같아서는... ㅉㅉ,2
비가 진짜 올 때 까지 하루씩 미뤄가며 비가 올거라고 예보하네..,0
디아블로3를 애타게 하고 싶지만나이 크리때문에 못하게 생겼음 ㅠㅠ,1
 저런사람이 우리세금으로 연금을 받는다니 분통 터집니다.,0
그에 비해 난 사교성이 겁나 떨어지는데...,1
어남선 최고의밥상 생각나넹,2
 1년동안 삼성에서 고생많았습니다~!,3
반드시 탄핵합시다!,0
 하지만 된다는 보장이 있는게 아니니 고민이됩니다.,1
 자백 안 해도 그동안 나온 증거만으로도 무기징역감이다!,0
아이유는 이제 시작하는 연기자 입니다.,2
좋아 올해는 뭔가 필이 온다^^,3
와 시발 네이버 수준..,0
초코파이는 글타쳐도 냉동닭은 심하네 지들이나 처먹지,0
왜 저러는 거래요? ㅋ,2
소유진이뿌당ㅜㅜㅜㅜ,3
저런 청문회를 내가 보고있었다니 분하다분해!,0
지연된다는게 꼭 나쁜건가? 이것저것 규정지키면 늦는거지 오히려 빨리빨리 가는게 더 이상한거아냐,2
먼저 방탈 죄송해요.,1
사형이 집행 되는 바른 사회가 구현되길..,1
백선생님은 요리가 하고 싶어지게 만드는 능력을 가지고 계신듯 합니다.,3
애비얼굴에 먹칠 그만하고 내려와라,0
음~~알파고를 이길사람은 나뿐이군...ㅋ,2
연설문을 보니 아무생각없는것같다.,0
해리 포터 아들내미가 주인공으로 8편은 더 내겠네,2
손으로 누르면..아픈데..하..미치겟네여 진짜..,1
여러군데 면접 보라고 전화왔었는데 따지면서 안가고 ㅜ.ㅜ,1
  저는...야자도 째고 그렇고있지만...연아선수 보면서...  반성 많이 하고 있습니다...,1
새누리가 만든거죠...?,2
 드뎌 아이가 생기긴 했는데요,3
연대가는방법도가지가지다,2
 나가면 더 크게 한탕한다.,0
수고하셨습니다. 염갈량..,3
거제사람으로 너무나 부끄럽고 죄송합니다.,1
유력이면유력이고 후보면후보지 유력후보는머야?? 확정인거같은데,2
기사 완전 구리네울아들 모리 안크도 공부만 잘하는데,3
  그동안 연아양의 노력이 결실을 맺었군요!!,3
서장훈:도대체 이게 무슨 의미가 있습니까~,2
자기가 너무 나빠서 제 얼굴보면 미안해서 괴로울거같데요,1
너도 어쩔수없어서 지금당장은 멀어진거라고,1
명수아재 일 그만둬도 마누라 의사니까 돈걱정 없을꺼고 건물도 있고,1
남자는더더욱그런거같네요....,1
정말 실망했다...,1
진짜 진짜 잘됏어요~,3
면세점 지하주차장에 관광 버수주차장없으면허가 취소해야 된다. 진심!!!,0
보검이 어쩜 그렇게 이쁘니.착하고 인성 좋은게 보이니.,3
 저한테는 심각한 고민입니다..,1
성욕도 결혼 안해도 자유롭게 채울 수 있는 사회 분위기라..,1
"눈에는눈,이에는이로단호하게대처합시다.",2
 포상받아서 전화한거 같은데못받다니...................................,1
어슬픈 엘지... 처음 구호는 항상거창했지...ㅋㅋㅋ,0
좋은 정보 감사,3
2700분의1이면 굉장히 높은 확률 아닌가..,2
매우 졸열한 왜놈들입니다,0
닭이 전 국민을 대상으로 수십년 동안 사기를 쳤다.,0
같은것도 해보고싶은데 괜히 했다가 돈만날릴것 같고보험도 들긴 보험료도 아깝고....,1
손석희옹 사실상 한주머니였다 라는 말에서 어금니 꽉!!! 깊은빡침이 느껴집니다!!!,0
정말 도움 많이 되었어요.,3
   독특한 억양이 너무  멋있습니다,3
정현돈인줄 알고 클릭한사람 손!,2
커리어나능력은좋다만...지금까지행적을보면이미지가실드불가다...,2
미국 이러다가 곧 뭔가 터질거같음,0
전에 있던거를 부활시킨건데ㅋㅋㅋㅋㅌ,2
유재석 몸매 장난아니더라 ㅠㅠ,3
저 오늘 산에서 나루토 봤는데,2
대한민국의 정의를 위해 국민들이 힘을모아 응원합니다,2
용큐선수 후배들좀 잘부탁해요!,2
중성화 수술은 찬성하는데 나라에서 철저히 감시해야지...,0
에헤라디야 나라꼴 잘돌아간다,0
 어도비에서 포토샵 만드는 프로그래머 같은 사람이 진짜 장인이지.,3
덥다면서 왜나가냐?,2
"한화가 9회에 홈런으로 역전을 시켜서,또 졌구나...",1
진실은 저 너머에..머 아니면.. 죄송합니다.;;0,1
한국의 필리핀화 귀추가 주목되네요,0
 현재경력은 딱히 경력이라 하기도좀 뭐하고.. ㅠ,1
엄마도 사람이야 사람!!!!,2
이대뿌니냐연대고대도 조사해봐라,0
 남의 아픔을 돈벌이로 이용하다니,0
"주모 ""태업할 시간도 없네""",2
오늘 음색 짱 이였어요...,3
요즘은 냄새맡으면 더배고파지는거같아요ㅠㅠㅠ,1
알려주시면 감사해요 ^.^!,3
 이런 고민때문에 티비에 나오는 연예인들 턱만보이네요ㅠ,1
 꼭 직원이되야지만 휴가 갈수있는거임??ㅠㅠ,1
열시미 쉬셔서 내년 시즌 확실하게 준비하세여.,3
"얼굴도 모르는 사람의 글에 답변달아주신 형님,누나,동생분들 고맙고 항상  복 받으세요...",3
 국민의 마음을 대표해주셔서 감사합니다ㅜㅜ,3
키스씬 꺅 넘나 설렌는것,3
슬프게도 대학교를 돌아가야할듯싶음..,1
이렇게 망하는 가보다,1
내일도면접을 위해서 먼저자라가네요 ㅠㅠ 휴~~~,1
자원없고 땅덩이 좁은 나라의 설움,1
     우연히 연아양 경기모습을 보게되었어요....,3
ㅠㅠㅠㅠㅠㅠㅠ몇주전부터 다이어트를시작했습니다,1
진짜 박근혜 없었으면 저 빨갱이들 이번 겨울 어떴게 보냈을까,0
어제 축제라서 제가 얼굴 오른쪽 광대 그쪽에 타투를 했거든요,3
나중에 좌빨이 정권 잡으면 종편 부터 때려 잡아야 함.,2
122경기 출전금지 받은 임창용이 생각난다,2
악플만키우잖아요ㅡㅡ,0
미국을 망가트리려 온 것 같다는 생각이 드네..,2
코큰 아저씨 들어가십니다,2
교수들 비리 파헤치고 시위도 한 이대생들 대단하다,3
대박!!! 응원합니다. 박영선의원님,3
무도 기대됨니다...,3
안녕하세요!,3
무상기증을 당연시하지마라,0
지금 하는거 봐서는. 북괴놈들 매일 미사일 싸지르고. 우린 낼모래가 국감인데 누진제는 이제 끝장이야!!!,0
세븐틴 항상 고마운거 알죠?,3
 방산비리를 줄이자고?,0
만약 제가 요정님을 뵙지 못하였다면 전요,1
진짜ㅋㅋ첨엔 저게 뭔조합이야?.이랬는데 ㅋ 볼수록 희한하게 어울렸던 다섯명~~^^그동안 잘봤습니당~^^,2
 하지만 다리들은 예술임,3
 그래도 그동안 수고하셨습니다.,3
약국을 열었는데 몹시 한가하네요..,1
남자친구가 집에만가면 연락이안되요...,1
그동안 박근혜정권과 최전방에서 싸우시느라 고생하셨어요,3
작가 감독 배우 모두 완벽 !!,3
생리통도심하고배아픈데 다다음주에친구들끼리 워터파크도가는데 짝남도 온다는...ㅎ,3
 그런 스타일 여자분 어디 없나요 ㅠㅠ,1
국민이 없었다면 대한민국은 북한과 다를게 없었을것이다,2
오늘 무도 식구들에게 생일 선물 뭐 받을려나?,3
국민투표라는것만 빼면 왠지 18대 대선하고 참 비슷한것 같다.,2
여장해서 화장실 드나다니는 놈들 취재좀 해바라~,0
너무 좋은드라마인데 몰라주는게 짜증난다..작가님 책으로 내줘요,3
물론 퇴사이야기를 늦게 전달해드린건 죄송한데...,1
애플아 걱정마 메갈리아라고 우리나라 집단이 있는데 아이폰 진짜 좋아해,2
잡스가 죽은지 벌써 5년이 되가는구나..,1
좌빨들 10만으로 확인됨.,2
빨갱이는 쏴죽여야 된다고 들었는데?,0
선남선녀...다른말은필요없구 부럽네요ㅠ,1
남주는 이준기 여주는 정인선 어떤가요,2
이쁘고 노래 잘하니 반하나 안반하나,3
실업계고등학교.졸업에 ....할줄아는거라곤전단지배포.,1
퍼거슨이 그렇다면 그런거다,3
진짜 궁금해서 그러는데 기상청 니들이 말하는 곳곳은 어디냐? 대체?,0
 아니 같은 학년이니까 연아야 ㅋㅋㅋ,3
오늘 너무 웃겨서 앞니 빠지는줄 알았음! 서장훈 눈치보며 흘린밥풀주워먹고 조세호 표정 ㅋㅋ,3
고충의 수였지만 서로 윈윈이네. ..!,3
어제 누나 페북보고 가입한건데 반갑고 매일 라디오 잘 듣고 있어요,3
우와 아베멋있다.,3
저렇게 자신들의 나라가위험에 쳐햇다는걸알리려 올리픽출전할려는의지 아주 존경 스럽습니다 자국을 사랑하고 위하는 그마음 온세상에 퍼트려졋음좋겟습니다,3
예산을 언놈 사리사욕 채우는데 썼겠지~,0
그래도 결혼추카추카해요 ㅋㅋㅋㅋㅋ,3
실업계를가야할지 인문계를가야할지 정말모르겠어요,1
 한명 힘딸려 놓쳐 실종사망이라해서 난 아프리카뉴스준알았다,2
오타쿠들의 성지 ㅋㅋㅋㅋㅋㅋ,2
트럼프 비선실세는 누구냐.,2
그니까 살만큼 살았으면 좀 죽으면 되겠네 생산인구 낳은 사람들 아니면,2
 정산 내역 좀 봅시다.,0
가족마저 등돌리는거 너무 차갑고 시리다..,1
이 기사 쓴이유가 뭘까?단통법해도 남들 몰래 싸게사는방법다들알고있자나?어휴 폰팔이새끼들,0
저 교수 월급 전액 삭감하면 전남대 학생 5명에게 장학금을 줄 수 있다.,2
김신과 삼신할매 대화할때 내가 다 먹먹ㅠㅠ,1
성지 순례왔습니다.,2
 두달도안남은시점...,1
"사람이란게 또 여기에 적응이 되니간 나약해지네요,,ㅠ",1
  오늘은 무 한도전하는날~,3
공감 얻지 못하는 기사 휴가도 못가고 열심히 일하는 사람 열받아,0
대한항공 서류합격했어요!,3
구치소 운동화 ㅎㅎㅎ그것도 아깝다 맨발로 거리 곳곳을 끌고다녀야 한다,0
새누리 이자들을 능지처참하라~~~!,0
나도의경나왓지만 저런모습보기좋네요,3
이참에 삼성이재용 뜨거운 맛을보여줘야한다,0
이뿐만 아니라 일본은 머든지 아이디어가 기발한 나라같다,3
중국입김이 있었구만......,2
 이렇게생기면 정말죽고싶다1,1
소 잃고 외양간 고치는중?,2
잡아서 똑같이 해줘라!,0
"나는 개가 못생겨서 30일 키우고 보신탕해먹었는데.,/",2
 매일매일 혼란의 늪에서 살아요 ㅜㅜㅜㅜㅜ,1
진짜 재밌게 보면서 그나마 웃을 수 있고마음이 편해져요,3
넌 후폭풍이 너무빨리 와버린듯..,1
 정말 쓰레기로 가득찬 우리나라...,0
 소량은 먹어도 인체에 해롭지 않고요.,2
조선도 언론개혁해야지 중딩수준 기래기들이 넘쳐난다,0
부산시민 여러분 훌륭하십니다!!!쵝오!!,3
어떻게 보면 권태기가 아니라 오래만나다보면 오는 위기일수도 있을까요.,1
정말로 감격적이었습니다.....,3
저 소득층은 들어가고싶어도 돈없어 못들어가는데??,2
아 오늘 생일이네요 ㅋㅋ,3
(≫≪) 미군 희생 여중생들의 죽음을 애도하며..,1
기상청접어라 아예 너희들 무슨자격으로 일하냐,0
구라청 쉴드기사 얼마에 쓰는거냐?!,0
살 빼려고... 지방만 분해되는 약 드시는구먼~,2
마지막까지 안울고 다른 연습생 진심으로 축하해주는게 느껴지더라,3
몸조심하세여^^그럼....,3
그럼 누가.개리 자리 에 오냐???,2
북개입 믿는 미친-놈들... 광화문 촛불시위도 김정은이 뒤에서 조종한다고 떠들고 다녀보지 그래? 죽방한데 갈겨버리게,0
연예인 꿈꾸는 학생들이 의외로 현실적인걸수도,2
조의연 저질 후진국 판사와 비교 된다 진짜,0
성과및능력제로 급여받는게 싫다면 모두가 평등하게 굶는 김정은이에게 가라,0
다행이네요 남은생 별탈없이 잘지냈면 좋겠군요,3
게토레이 한잔갖고 통역이랑 나눠먹는거 봤음,2
최순실 사형 집행 공약으로 걸면 기꺼이 찍는다,0
음주운전 전과 3범 뭐냐 예비살인마;;,0
예디님이 이제 모닝와이드로 다시 복귀해 MC겸 앵커가 되었군요!,3
 드라마화가 뭐 오나귀 가 좀 특별나게 재밌었지만 이것도 좀 재밋어요,3
연구 더 하고 세금 메겨라,2
 다른 나라 가서 사는것도 능력 좋은 사람들이 하는거다~!,1
 미국 가면 이런 몸매 콤플렉스를 제가 조금이라도 떨칠수있을까요ㅠㅠ,1
이쁜언니들 옆에끼고 불금보내고싶다.카드한번 긁어야되나? ㅜㅜ,1
